tool,project,status,stmt_pct,branch_pct,lb_pct,n_target_mods,n_tests,batches_failed
marta,PySnooper,ok,43.388429752066116,25.0,38.56707317073171,4,53,0
marta,apimd,ok,33.00970873786408,14.333333333333334,26.134969325153374,2,33,0
marta,codetiming,ok,75.0,50.0,69.23076923076923,1,6,0
marta,cookiecutter,ok,36.206896551724135,18.75,30.523255813953487,5,23,0
marta,dataclasses-json,ok,47.35042735042735,30.0,41.87134502923977,4,38,0
marta,docstring_parser,ok,43.81443298969072,12.5,35.338345864661655,5,21,0
marta,flutes,ok,87.2,72.53521126760563,81.88775510204081,3,28,0
marta,isort,ok,78.0,38.46153846153846,72.1590909090909,2,17,0
marta,python-string-utils,ok,89.57816377171216,85.625,88.45470692717585,3,71,0
marta,sty,ok,75.75757575757575,63.04347826086956,71.72413793103448,2,19,0
test4py_baseline,PySnooper,ok,50.6198347107438,33.72093023255814,46.1890243902439,4,21,0
test4py_baseline,apimd,ok,32.62135922330097,14.666666666666666,26.012269938650306,2,25,0
test4py_baseline,codetiming,ok,65.0,0.0,50.0,1,5,0
test4py_baseline,cookiecutter,ok,33.62068965517241,23.214285714285715,30.232558139534884,5,11,0
test4py_baseline,dataclasses-json,ok,54.18803418803419,36.2962962962963,48.538011695906434,4,14,0
test4py_baseline,docstring_parser,ok,64.69072164948453,39.583333333333336,57.89473684210526,5,7,0
test4py_baseline,flutes,ok,81.6,53.521126760563384,71.42857142857143,3,34,0
test4py_baseline,isort,ok,68.0,46.15384615384615,64.77272727272727,2,13,0
test4py_baseline,python-string-utils,ok,72.70471464019852,65.625,70.69271758436945,3,41,0
test4py_baseline,sty,ok,61.61616161616162,36.95652173913044,53.793103448275865,2,10,0
pynguin,PySnooper,ok,41.94214876033058,23.25581395348837,37.042682926829265,4,3,0
pynguin,apimd,ok,40.77669902912621,23.0,34.23312883435583,2,2,0
pynguin,codetiming,ok,97.5,91.66666666666667,96.15384615384616,1,1,0
pynguin,cookiecutter,ok,52.58620689655172,41.964285714285715,49.127906976744185,5,5,0
pynguin,dataclasses-json,ok,35.8974358974359,12.962962962962964,28.65497076023392,4,3,0
pynguin,docstring_parser,ok,60.56701030927835,35.416666666666664,53.7593984962406,5,5,0
pynguin,flutes,ok,88.0,61.971830985915496,78.57142857142857,3,3,0
pynguin,isort,ok,90.66666666666667,73.07692307692308,88.06818181818181,2,2,0
pynguin,python-string-utils,ok,89.82630272952854,81.875,87.56660746003553,3,3,0
pynguin,sty,ok,100.0,100.0,100.0,2,2,0
marta,ansible,ok,18.95415208985454,11.963882618510159,16.816647919010123,237,2677,2
marta,black,ok,42.69829503335804,24.555160142348754,37.362637362637365,6,93,0
marta,flutils,ok,71.71581769436997,54.09356725146199,66.17647058823529,9,60,0
marta,httpie,ok,39.98682476943347,12.237093690248566,32.87604115629593,19,66,0
marta,mimesis,ok,60.17937219730942,35.02994011976048,54.38233264320221,18,143,0
marta,py-backwards,ok,41.29213483146067,14.285714285714286,34.82905982905983,19,24,0
marta,pyMonet,ok,80.31674208144797,59.67741935483871,75.79505300353357,10,127,0
marta,pypara,ok,65.92797783933518,32.0,61.20826709062003,6,95,0
marta,python-semantic-release,ok,61.79245283018868,27.906976744186046,56.07843137254902,6,47,0
marta,pytutils,ok,40.140845070422536,18.88888888888889,35.026737967914436,12,32,0
marta,sanic,ok,52.56410256410256,31.486880466472304,46.54454621149043,11,49,0
marta,thefuck,ok,50.55309734513274,21.875,44.224137931034484,32,82,0
marta,thonny,ok,24.344569288389515,8.482142857142858,19.65699208443272,3,23,0
marta,tornado,ok,49.30015552099533,21.27215849843587,41.687907108467854,13,180,0
marta,tqdm,ok,54.054054054054056,32.30769230769231,48.78957169459963,9,17,0
marta,typesystem,ok,48.098591549295776,27.90014684287812,41.55164207520229,10,110,0
marta,youtube-dl,ok,29.86459378134403,7.246376811594203,23.836674636748207,35,114,0
test4py_baseline,ansible,ok,16.31743693610753,10.333584148482569,14.487677676654055,237,1567,3
test4py_baseline,black,ok,31.94959229058562,11.565836298932384,25.954997383568813,6,68,0
test4py_baseline,flutils,ok,70.50938337801608,54.3859649122807,65.44117647058823,9,40,0
test4py_baseline,httpie,ok,31.225296442687746,7.648183556405353,25.18373346398824,19,55,0
test4py_baseline,mimesis,ok,47.53363228699551,24.850299401197606,42.30503795721187,18,65,0
test4py_baseline,py-backwards,ok,40.30898876404494,15.625,34.401709401709404,19,26,0
test4py_baseline,pyMonet,ok,83.2579185520362,66.12903225806451,79.50530035335689,10,89,0
test4py_baseline,pypara,ok,66.20498614958449,34.285714285714285,61.76470588235294,6,65,0
test4py_baseline,python-semantic-release,ok,33.72641509433962,8.13953488372093,29.41176470588235,6,3,0
test4py_baseline,pytutils,ok,43.13380281690141,33.888888888888886,40.90909090909091,12,24,0
